,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
GATA2,0.00E+00,0.8357801,0.829,0.354,0.00E+00,0,GATA2
SAMSN1,0.00E+00,0.81523,0.637,0.155,0.00E+00,0,SAMSN1
KCNH2,1.20E-297,0.3226456,0.523,0.125,2.69E-293,0,KCNH2
NTS,9.84E-248,0.7103754,0.407,0.088,2.20E-243,0,NTS
DDAH2,4.31E-242,0.5995628,0.895,0.683,9.65E-238,0,DDAH2
CLEC11A,5.04E-227,0.4893272,0.826,0.486,1.13E-222,0,CLEC11A
CTNNBL1,2.35E-220,0.5727597,0.75,0.417,5.26E-216,0,CTNNBL1
CLIC1,9.53E-215,0.4408838,0.972,0.916,2.13E-210,0,CLIC1
HNRNPA1,2.43E-205,0.3791065,0.984,0.972,5.44E-201,0,HNRNPA1
NPM1,5.15E-204,0.5342638,0.985,0.959,1.15E-199,0,NPM1
LIN28A,6.18E-198,0.4770803,0.59,0.242,1.38E-193,0,LIN28A
SPRY1,6.83E-196,0.4376808,0.511,0.186,1.53E-191,0,SPRY1
IFITM2,2.28E-195,0.5096365,0.933,0.753,5.10E-191,0,IFITM2
CKB,8.89E-190,0.5354895,0.901,0.706,1.99E-185,0,CKB
C1QBP,1.89E-182,0.4443542,0.934,0.838,4.23E-178,0,C1QBP
TBC1D4,1.21E-168,0.4996567,0.51,0.218,2.72E-164,0,TBC1D4
RGS5,5.15E-159,0.6767933,0.467,0.176,1.15E-154,0,RGS5
SLIRP,4.24E-158,0.5087039,0.955,0.892,9.49E-154,0,SLIRP
HSPD1,1.00E-157,0.5266343,0.939,0.824,2.25E-153,0,HSPD1
EIF5A,3.55E-154,0.4496305,0.944,0.882,7.95E-150,0,EIF5A
FGFBP3,4.99E-154,0.3563403,0.416,0.143,1.12E-149,0,FGFBP3
PRTG,1.78E-146,0.365458,0.612,0.295,3.98E-142,0,PRTG
RPS29,1.37E-145,0.2508246,0.991,0.988,3.07E-141,0,RPS29
FXYD5,2.07E-143,0.382607,0.888,0.709,4.63E-139,0,FXYD5
TPI1,3.59E-142,0.3355682,0.959,0.924,8.03E-138,0,TPI1
LDHB,1.45E-136,0.364507,0.968,0.929,3.25E-132,0,LDHB
CCNB1IP1,3.55E-134,0.2935994,0.785,0.51,7.95E-130,0,CCNB1IP1
NME1,8.51E-131,0.4161975,0.92,0.825,1.90E-126,0,NME1
SLC16A1,1.26E-128,0.3854231,0.616,0.343,2.81E-124,0,SLC16A1
APLNR,1.13E-125,0.3013659,0.396,0.141,2.52E-121,0,APLNR
VDAC1,1.28E-125,0.3616473,0.893,0.729,2.88E-121,0,VDAC1
SFRP1,9.33E-125,0.3601183,0.534,0.253,2.09E-120,0,SFRP1
RAC3,3.45E-122,0.4035383,0.837,0.654,7.72E-118,0,RAC3
HSP90AB1,1.89E-119,0.4292339,0.978,0.951,4.24E-115,0,HSP90AB1
LAPTM4B,2.82E-119,0.3542082,0.865,0.707,6.31E-115,0,LAPTM4B
SNRPD1,1.03E-118,0.3375894,0.947,0.882,2.31E-114,0,SNRPD1
NCL,4.11E-118,0.4785987,0.951,0.869,9.21E-114,0,NCL
PGAM1,5.58E-118,0.3762503,0.93,0.82,1.25E-113,0,PGAM1
GAD1,5.33E-117,0.3239951,0.812,0.492,1.19E-112,0,GAD1
EIF4A1,5.63E-117,0.4262651,0.905,0.797,1.26E-112,0,EIF4A1
CENPV,1.84E-116,0.4172542,0.685,0.435,4.13E-112,0,CENPV
PRMT1,6.73E-116,0.4389514,0.845,0.661,1.51E-111,0,PRMT1
MRPL12,3.60E-114,0.345465,0.912,0.801,8.05E-110,0,MRPL12
MIF,4.82E-114,0.3292875,0.91,0.756,1.08E-109,0,MIF
ENO1,1.32E-113,0.4149809,0.972,0.934,2.96E-109,0,ENO1
TOMM40,3.93E-112,0.3398467,0.818,0.593,8.80E-108,0,TOMM40
SNRPF,4.58E-112,0.379733,0.947,0.886,1.03E-107,0,SNRPF
RPL17,4.93E-111,0.2706066,0.945,0.905,1.10E-106,0,RPL17
HSPE1,1.29E-110,0.3844845,0.962,0.906,2.88E-106,0,HSPE1
CFAP298,2.14E-110,0.3107935,0.637,0.369,4.80E-106,0,CFAP298
LAPTM5,7.47E-110,0.2885963,0.794,0.479,1.67E-105,0,LAPTM5
GYPE,1.07E-109,0.4027278,0.64,0.354,2.39E-105,0,GYPE
PAICS,1.26E-109,0.338872,0.838,0.613,2.81E-105,0,PAICS
BEX1,2.26E-109,0.8808788,0.783,0.637,5.05E-105,0,BEX1
SERBP1,5.46E-109,0.2966316,0.939,0.88,1.22E-104,0,SERBP1
GLO1,1.21E-108,0.387995,0.81,0.635,2.70E-104,0,GLO1
NR2F6,1.98E-107,0.2803134,0.735,0.5,4.42E-103,0,NR2F6
PAPSS1,9.44E-107,0.3594195,0.766,0.507,2.11E-102,0,PAPSS1
FABP5,1.20E-105,0.3053492,0.889,0.688,2.70E-101,0,FABP5
MT.ND5,4.03E-105,0.4530573,0.884,0.845,9.02E-101,0,MT.ND5
CD24,7.71E-105,0.3164898,0.702,0.408,1.72E-100,0,CD24
SNRPB,2.60E-104,0.3021695,0.937,0.865,5.82E-100,0,SNRPB
CCT6A,1.31E-103,0.348396,0.907,0.777,2.94E-99,0,CCT6A
PNO1,6.57E-102,0.3543577,0.61,0.375,1.47E-97,0,PNO1
CCT8,8.75E-102,0.3784587,0.903,0.781,1.96E-97,0,CCT8
PKM,1.85E-101,0.3129566,0.937,0.794,4.13E-97,0,PKM
ATP5F1B,8.27E-101,0.3160083,0.946,0.892,1.85E-96,0,ATP5F1B
TRIM28,2.93E-100,0.376271,0.866,0.737,6.55E-96,0,TRIM28
