gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,ENTREZID
RGS5,0,1.562717947,0.925,0.058,0,IM,8490
MDK,0,1.558810975,0.993,0.876,0,IM,4192
CD24,0,1.46811511,0.931,0.359,0,IM,100133941
HAPLN1,0,1.44489528,0.897,0.298,0,IM,1404
NTS,0,1.304754073,0.764,0.08,0,IM,4922
SAMSN1,0,1.207082025,0.912,0.235,0,IM,64092
IGFBP4,0,1.174806109,0.922,0.313,0,IM,3487
CCND1,0,1.105713997,0.88,0.152,0,IM,595
NRP2,0,1.051073812,0.862,0.107,0,IM,8828
TBC1D4,0,0.985935015,0.881,0.183,0,IM,9882
LIN28A,0,0.952787942,0.91,0.26,0,IM,79727
PRTG,0,0.93458802,0.878,0.276,0,IM,283659
RHOB,0,0.928228413,0.881,0.208,0,IM,388
FBLN1,0,0.885728936,0.899,0.226,0,IM,2192
APLNR,0,0.87749498,0.797,0.07,0,IM,187
SFRP1,0,0.873888366,0.88,0.22,0,IM,6422
SPRY1,0,0.817930273,0.827,0.199,0,IM,10252
KDR,0,0.81738627,0.862,0.217,0,IM,3791
CTSV,0,0.764164248,0.761,0.075,0,IM,1515
PROCR,0,0.638006208,0.759,0.1,0,IM,10544
ANXA6,0,0.618076863,0.821,0.19,0,IM,309
MMP2,0,0.538660539,0.786,0.161,0,IM,4313
BGN,0,0.509623163,0.712,0.107,0,IM,633
PMP22,0,0.489444636,0.627,0.066,0,IM,5376
BMPER,0,0.482375258,0.645,0.01,0,IM,168667
MXRA8,0,0.46720595,0.646,0.052,0,IM,54587
CDC42EP1,0,0.466310725,0.68,0.057,0,IM,11135
CDH11,0,0.450776078,0.634,0.061,0,IM,1009
IGDCC3,0,0.437847741,0.722,0.07,0,IM,9543
RASIP1,0,0.431712165,0.67,0.039,0,IM,54922
ARL4D,0,0.422940223,0.648,0.049,0,IM,379
CDH5,0,0.42075553,0.686,0.102,0,IM,1003
FOXH1,0,0.391449174,0.51,0.005,0,IM,8928
TET1,0,0.379364388,0.595,0.06,0,IM,80312
CRB2,0,0.37782801,0.476,0.021,0,IM,286204
PTPRF,0,0.337742838,0.58,0.054,0,IM,5792
TUBB2B,0,0.325683403,0.482,0.033,0,IM,347733
TYRO3,0,0.30647376,0.537,0.037,0,IM,7301
SOX7,0,0.273826103,0.451,0.021,0,IM,83595
SMTNL2,0,0.2513467,0.457,0.01,0,IM,342527
NTRK1,8.09E-307,0.266972795,0.511,0.041,1.81E-302,IM,4914
PFN2,6.00E-306,0.464434431,0.728,0.131,1.34E-301,IM,5217
FSTL1,6.01E-305,0.532754608,0.777,0.167,1.34E-300,IM,11167
ID2,1.39E-301,1.248097846,0.922,0.372,3.11E-297,IM,3398
SLC16A1,2.20E-299,0.83328486,0.89,0.349,4.92E-295,IM,6566
FGFR3,3.07E-299,0.259861553,0.489,0.038,6.86E-295,IM,2261
FBLN2,2.02E-297,0.40969247,0.73,0.133,4.51E-293,IM,2199
APOC1,6.89E-297,0.899199503,0.858,0.279,1.54E-292,IM,341
ECSCR,1.45E-296,0.788606673,0.818,0.208,3.23E-292,IM,641700
BEX1,3.30E-292,1.549939238,0.966,0.653,7.38E-288,IM,55859
AHNAK,7.36E-292,0.407630708,0.634,0.09,1.65E-287,IM,79026
AXL,3.65E-288,0.341657348,0.561,0.064,8.16E-284,IM,558
PCAT14,4.60E-287,0.25254249,0.433,0.027,1.03E-282,IM,101978785
ENC1,5.41E-284,0.504572016,0.658,0.108,1.21E-279,IM,8507
GSTA2,1.63E-283,0.329690949,0.517,0.05,3.66E-279,IM,2939
FGFR1,1.77E-283,0.419525491,0.615,0.088,3.95E-279,IM,2260
HSP90AB1,3.63E-279,0.948227845,0.991,0.965,8.12E-275,IM,3326
NPM1,3.77E-279,0.8915478,0.993,0.977,8.43E-275,IM,4869
GFI1,1.68E-278,0.347210706,0.576,0.072,3.76E-274,IM,2672
TOP1MT,2.83E-278,0.412491481,0.708,0.137,6.34E-274,IM,116447
MYH10,4.57E-272,0.692765493,0.84,0.25,1.02E-267,IM,4628
GATA6,4.55E-271,0.422506098,0.709,0.14,1.02E-266,IM,2627
PSAT1,1.48E-259,0.333517738,0.592,0.091,3.32E-255,IM,29968
APOE,1.07E-257,1.208654378,0.946,0.733,2.41E-253,IM,348
ALDH2,6.86E-257,0.479526147,0.771,0.198,1.53E-252,IM,217
TEAD2,7.54E-257,0.409250738,0.736,0.159,1.69E-252,IM,8463
MDFI,2.20E-103,0.277658542,0.707,0.284,4.93E-99,MPP-pre-MC,4188
MDFI,5.89E-256,0.648635686,0.843,0.268,1.32E-251,IM,4188
CTNNBL1,3.61E-255,0.896915525,0.91,0.487,8.08E-251,IM,56259
S100A11,3.56E-114,0.585666367,0.991,0.757,7.96E-110,Myeloid,6282
S100A11,9.32E-255,1.199925648,0.968,0.753,2.09E-250,IM,6282
ITM2C,1.55E-254,0.775647048,0.872,0.391,3.46E-250,IM,81618
ENO1,2.10E-253,0.807698088,0.982,0.968,4.71E-249,IM,2023
SCGN,4.64E-249,0.393148091,0.559,0.077,1.04E-244,IM,10590
PRDX1,1.16E-247,0.924295911,0.972,0.888,2.61E-243,IM,5052
PRDX1,3.54E-67,0.355480396,0.986,0.885,7.92E-63,MPP-pre-MC,5052
EMP2,1.38E-246,0.282502833,0.461,0.046,3.08E-242,IM,2013
PLVAP,6.76E-243,0.68976022,0.834,0.284,1.51E-238,IM,83483
BIN1,9.72E-118,0.303268262,0.745,0.3,2.18E-113,MPP-pre-MC,274
BIN1,8.39E-243,0.615861745,0.853,0.289,1.88E-238,IM,274
TAC3,1.21E-241,0.28841574,0.496,0.059,2.71E-237,IM,6866
CD81,5.67E-241,0.875888978,0.907,0.543,1.27E-236,IM,975
DOK4,3.52E-240,0.428537025,0.696,0.162,7.87E-236,IM,55715
DBN1,2.52E-238,0.555565561,0.83,0.273,5.63E-234,IM,1627
CKAP4,3.21E-236,0.508581675,0.822,0.261,7.18E-232,IM,10970
SLIRP,5.18E-236,0.778158014,0.963,0.942,1.16E-231,IM,81892
BSG,6.26E-236,0.808496645,0.954,0.871,1.40E-231,IM,682
TMEM88,1.87E-234,0.805985507,0.894,0.404,4.18E-230,IM,92162
PRMT1,3.26E-234,0.878926068,0.934,0.71,7.30E-230,IM,3276
LOXL1,1.84E-233,0.359246253,0.696,0.16,4.11E-229,IM,4016
KLF2,3.98E-233,0.574602055,0.593,0.108,8.92E-229,IM,10365
EIF4A1,1.99E-232,0.847707347,0.954,0.833,4.45E-228,IM,1973
NES,3.43E-232,0.294187444,0.551,0.083,7.67E-228,IM,10763
SERPINH1,5.16E-232,0.933678847,0.931,0.7,1.15E-227,IM,871
COL18A1,1.07E-231,0.89741761,0.918,0.553,2.38E-227,IM,80781
