"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","EMP","EMP","GO:0042744","hydrogen peroxide catabolic process","11/119","32/18670",5.06937391933569e-17,6.81645594019316e-14,5.84044414782048e-14,"3045/3048/3039/3046/3040/3047/6622/3049/3050/9588/3042",11
"2","EMP","EMP","GO:0015671","oxygen transport","9/119","15/18670",6.18553170616439e-17,6.81645594019316e-14,5.84044414782048e-14,"3045/3048/3039/3046/3040/3047/3049/3050/3042",9
"3","EMP","EMP","GO:0015669","gas transport","9/119","19/18670",1.11763837498011e-15,8.2109165948539e-13,7.03523945513798e-13,"3045/3048/3039/3046/3040/3047/3049/3050/3042",9
"4","EMP","EMP","GO:0051187","cofactor catabolic process","12/119","65/18670",7.73006754555321e-15,4.25926721759982e-12,3.6494055728217e-12,"3045/3048/3039/3046/3040/645/3047/6622/3049/3050/9588/3042",12
"5","EMP","EMP","GO:0042743","hydrogen peroxide metabolic process","11/119","57/18670",6.3462674305013e-14,2.79743468336497e-11,2.39688500427775e-11,"3045/3048/3039/3046/3040/3047/6622/3049/3050/9588/3042",11
"6","EMP","EMP","GO:0017001","antibiotic catabolic process","11/119","58/18670",7.78998988367605e-14,2.86152295060367e-11,2.45179681602015e-11,"3045/3048/3039/3046/3040/3047/6622/3049/3050/9588/3042",11
"7","EMP","EMP","GO:0098869","cellular oxidant detoxification","11/119","102/18670",4.82221538504288e-11,1.51830895837636e-08,1.30091043620555e-08,"3045/3048/3039/3046/3040/3047/3049/3050/9588/3042/4259",11
"8","EMP","EMP","GO:1990748","cellular detoxification","11/119","112/18670",1.34680522384382e-10,3.71044839168974e-08,3.17916917312608e-08,"3045/3048/3039/3046/3040/3047/3049/3050/9588/3042/4259",11
"9","EMP","EMP","GO:0097237","cellular response to toxic substance","14/119","247/18670",5.99988401093973e-10,1.46930492890124e-07,1.25892303106735e-07,"5111/3045/3048/3039/3046/3040/3047/3049/3050/9588/3042/983/1958/4259",14
"10","EMP","EMP","GO:0098754","detoxification","11/119","131/18670",7.35858187189007e-10,1.62183144456457e-07,1.38961009243903e-07,"3045/3048/3039/3046/3040/3047/3049/3050/9588/3042/4259",11
"11","EMP","EMP","GO:0042737","drug catabolic process","11/119","140/18670",1.49887004852243e-09,3.00319053358494e-07,2.57317977708061e-07,"3045/3048/3039/3046/3040/3047/6622/3049/3050/9588/3042",11
"12","EMP","EMP","GO:0016999","antibiotic metabolic process","11/119","151/18670",3.3474634633695e-09,6.14817456105531e-07,5.26785039761832e-07,"3045/3048/3039/3046/3040/3047/6622/3049/3050/9588/3042",11
"13","EMP","EMP","GO:0072593","reactive oxygen species metabolic process","13/119","284/18670",3.29099473778788e-08,5.4202691350524e-06,4.64416984825867e-06,"3045/3048/3039/3046/3040/3047/6622/3049/3050/9588/3042/961/2537",13
"14","EMP","EMP","GO:0002262","myeloid cell homeostasis","10/119","147/18670",3.4430021729008e-08,5.4202691350524e-06,4.64416984825867e-06,"10661/3146/51522/3148/212/3050/2623/2039/116151/9636",10
"15","EMP","EMP","GO:0030218","erythrocyte differentiation","9/119","114/18670",4.73207117929868e-08,6.95298991944953e-06,5.95742855835918e-06,"10661/51522/3148/212/3050/2623/2039/116151/9636",9
"16","EMP","EMP","GO:0034101","erythrocyte homeostasis","9/119","122/18670",8.53358490564603e-08,1.17550132075274e-05,1.00718758689006e-05,"10661/51522/3148/212/3050/2623/2039/116151/9636",9
"17","EMP","EMP","GO:0048872","homeostasis of number of cells","11/119","246/18670",5.01044602473795e-07,6.4958959050132e-05,5.56578338599373e-05,"10661/3146/51522/3148/212/3050/2623/2039/4208/116151/9636",11
"18","EMP","EMP","GO:0015893","drug transport","10/119","214/18670",1.13801581709494e-06,0.00013934371449318,0.0001193918348461,"3045/3048/3039/3046/3040/3047/6622/3049/3050/3042",10
"19","EMP","EMP","GO:0009263","deoxyribonucleotide biosynthetic process","4/119","15/18670",2.02853726136426e-06,0.000235310322318254,0.00020161749844252,"6241/1854/7298/1841",4
"20","EMP","EMP","GO:0009262","deoxyribonucleotide metabolic process","5/119","35/18670",2.69332572670478e-06,0.000296804495082867,0.000254306650195178,"6241/1854/7298/1841/4521",5
"21","EMP","EMP","GO:0044843","cell cycle G1/S phase transition","11/119","298/18670",3.25826192651288e-06,0.000341962346954018,0.000292998591286421,"5111/896/6241/1033/7298/983/81853/51053/890/1032/6790",11
