gene_name,Module
CD47,Module1
CLEC1B,Module1
DLK1,Module1
F2R,Module1
GP1BA,Module1
ITGA2B,Module1
PECAM1,Module1
RHAG,Module1
SELP,Module1
SLC37A1,Module1
BST2,Module2
CD320,Module2
ATP1B3,Module2
CD24,Module2
TNFRSF1B,Module2
SYPL1,Module2
TMEM123,Module2
TMEM150A,Module2
SLC5A6,Module2
SLC19A1,Module2
CD44,Module3
CD52,Module3
LAIR1,Module3
ITGB2,Module3
CD34,Module3
CD48,Module3
CD164,Module3
SLC38A1,Module3
TNFRSF1A,Module3
CD3D,Module3
CD63,Module4
EMP3,Module4
ICAM2,Module4
SLC2A3,Module4
CD226,Module4
F2RL2,Module4
ESAM,Module4
ITGB1,Module4
KEL,Module4
ECE1,Module4
